Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
AET,Aetna Inc,Health Care,178,18.11,1.101.989,5.75,194.4,119.51,59197016353,4139000000,0.9923546,3.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,0.6387395,12.07,216.995,148.81,10442174371,1261400000,4.591.235,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL,AFLAC Inc,Financials,83.25,12.24,24.299.066,11.01,91.73,68.8,33422948000,0,15.429.344,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies Inc,Health Care,65.05,27.45,0.8756979,2.1,75,49.23,21984606918,1094000000,6.493.563,4.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,27.811.136,13.66,175.17,1.336.301,34638387128,2542500000,41.163.683,3.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,0,1.79,69.56,44.65,10906904066,789517000,58.546.524,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,19.928.383,8.28,101.43,59.25,7903173734,1665000000,0.9801092,2.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
ALB,Albemarle Corp,Materials,105.18,26.03,12.004.126,5.66,144.99,90.35,11782151266,686030000,53.666.205,2.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,30.262.272,1.57,134.37,106.89,12043374429,0,10.492.155,2.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,0,1.77,149.34,96.18,26172439795,1072000000,9.720.562,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALGN,Align Technology,Health Care,220.71,56.59,0,2.84,287.32,92.61,18788041378,380326000,13.138.819,16.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
ALLE,Allegion,Industrials,77.32,21.07,0.8004002,2.37,89.81,66.72,7599609494,531800000,4.265.232,20.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
AGN,"Allergan, Plc",Health Care,164.2,10.65,1.643.289,38.35,256.8,160.07,56668833898,-2888100000,4.820.115,0.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
ADS,Alliance Data Systems,Information Technology,240.6,13.02,0.9240122,14.13,278.33,209,13632608582,2143200000,17.282.298,8.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
LNT,Alliant Energy Corp,Utilities,37.14,19.86,35.733.333,1.65,45.55,36.84,8670163500,1168400000,34.331.481,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL,Allstate Corp,Financials,90.06,13.26,15.278.208,4.68,105.36,77.73,34759468905,0,12.085.556,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,0,22.27,1198,824.3,7.33824E+11,34217000000,6.801.692,4.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,0,22.27,1186.89,8.031.903,7.28536E+11,32714000000,6.772.653,4.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO,Altria Group Inc,Consumer Staples,64.05,18.89,39.526.875,5.31,77.79,60.01,1.26985E+11,10773000000,4.945.682,10.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,0,6.16,1498,812.5,6.85873E+11,16132000000,3.927.053,24.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AEE,Ameren Corp,Utilities,52.59,20.38,34.404.964,2.68,64.89,51.81,12905744906,2298000000,2.693.119,1.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AAL,American Airlines Group,Industrials,48.6,9.92,0.7782101,3.91,59.08,39.21,24594852352,5761000000,0.58022565,6.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
AEP,American Electric Power,Utilities,63.38,17.32,38.479.443,1.24,78.07,62.69,31701916517,4450800000,27.489.934,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express Co,Financials,88.34,15,14.955.667,2.9,102.385,75.51,80410990000,0,2.273.575,3.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,"American International Group, Inc.",Financials,58.28,23.22,21.167.521,-0.76,67.3,57.85,54360073164,0,14.686.536,0.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower Corp A,Real Estate,133.57,20.68,2,1.97,155.28,103.36,59213892640,3792383000,11.954.137,9.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK,American Water Works Company Inc,Utilities,76.06,26.23,2.129.297,2.63,92.37,71.89,13906146184,1711000000,5.553.833,2.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP,Ameriprise Financial,Financials,152.5,12.41,20.735.743,9.44,183.9,118.84,23472126000,0,19.493.247,3.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,16.132.456,1.64,106.27,71.9,20587704101,991884000,0.17396984,9.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC
AME,AMETEK Inc,Industrials,72.05,27.61,0.75512403,2.94,78.51,51.31,17139651923,1025763000,4.015.368,4.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen Inc,Health Care,173.12,13.76,29.751.508,2.57,201.23,152.16,1.28133E+11,11945000000,558.192,3.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol Corp,Information Technology,84.44,25.9,0.8608971,2.05,93.62,67.26,26955335395,1671700000,385.675,6.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,17.029.973,-5.9,70,39.96,32129091747,3115000000,39.682.212,2.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC
ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,2.108.963,2.11,98.38,74.65,31811578855,1663384000,800.391,3.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANDV,Andeavor,Energy,96.9,18.78,23.454.583,6.13,121.71,75.11,15696449735,2548000000,0.6618165,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV
ANSS,ANSYS,Information Technology,148.84,42.53,0,2.99,164.9,94.52,13155919129,458515000,168.134,5.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
ANTM,Anthem Inc.,Health Care,230.57,19.23,12.581.781,14.36,267.95,156.81,61221978627,0,0.6696521,2.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM
AON,Aon plc,Financials,136.05,20.8,10.245.464,4.66,152.78,1.132.201,35123123422,1858000000,34.972.682,6.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA,Apache Corporation,Energy,37.73,-251.53,2.528.445,-3.72,57.9,38.14,15066280977,3265000000,3.651.366,2.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,3.876.562,1.95,46.855,38.85,6156884142,874871000,6.187.621,4.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV
AAPL,Apple Inc.,Information Technology,155.15,16.86,15.795.412,9.2,180.1,131.12,8.09508E+11,79386000000,34.586.093,5.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,Applied Materials Inc,Information Technology,45.75,14.08,0.8215239,3.17,60.89,34.58,51296481503,4336000000,47.020.154,5.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,0.9392678,5.05,96.91,82.97,24906530300,2370000000,15.025.798,7.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,31.761.081,2.17,47.44,38.59,23594770663,2927000000,0.52478915,1.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
ARNC,Arconic Inc,Industrials,24.45,20.21,0.9561753,-0.21,31.17,21.755,12123300000,1517000000,0.94214815,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARNC
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,24.807.138,2.54,70.55,53.63,11968488290,888000000,19.400.215,2.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
AIZ,Assurant Inc,Financials,85.16,33.27,25.313.594,9.08,106.985,85.91,4653993594,0,0.9821866,1.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
T,AT&T Inc,Telecommunication Services,35.57,12.14,54.156.513,4.76,42.7,32.55,2.26713E+11,49653000000,14.083.152,1.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
ADSK,Autodesk Inc,Information Technology,104.81,-77.07,0,-2.61,131.1,81.75,24348294504,-378100000,1.650.682,224.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
ADP,Automatic Data Processing,Information Technology,108.25,29.34,22.190.912,3.85,125.24,95.5,50337702249,2767400000,40.483.294,12.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,0,44.09,797.89,491.13,19922021415,2347304000,18.510.429,136.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,37.149.355,6.36,199.52,156.01,21856547430,1331579000,10.251.216,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
AVY,Avery Dennison Corp,Materials,110.77,22.11,15.682.175,3.11,123.67,78.471,10104814319,831200000,15.206.499,8.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
BHGE,"Baker Hughes, a GE Company",Energy,27.5,305.56,24.991.322,-0.31,57.73,28.03,32995712852,285000000,19.390.045,2.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE
BLL,Ball Corp,Materials,38.44,20.56,10.170.354,0.85,43.24,35.6,13767688518,1317000000,15.696.399,3.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL
BAC,Bank of America Corp,Financials,29.74,16.34,1.536,1.55,32.67,22.07,3.21478E+11,0,32.011.874,1.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
BAX,Baxter International Inc.,Health Care,62.56,25.12,0.97635394,1.29,72.58,48.15,35713732553,1832000000,34.394.414,3.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BBT,BB&T Corporation,Financials,51.07,16.26,24.526.198,2.74,55.99,41.17,42087562920,0,34.552.107,1.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT
BDX,Becton Dickinson,Health Care,211.44,22.28,13.518.385,4.65,2.483.888,175.66,50910180308,1537000000,56.912.947,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BRK.B,Berkshire Hathaway,Financials,191.42,30.43,0,9.76,217.62,160.93,2.61401E+11,0,14.328.232,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,19.22,19.085.041,3.81,78.59,41.67,20831186176,2555000000,0.76715523,4.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
BIIB,Biogen Inc.,Health Care,311.79,14.3,0,11.94,370.57,244.28,69157726427,6511400000,5.737.439,5.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK,BlackRock,Financials,509.38,22.49,21.643.558,30.3,594.52,368,85907759858,5684000000,69.158.196,2.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
HRB,Block H&R,Financials,25.19,12.29,37.296.038,1.92,31.8,19.85,5381433872,894754000,20.188.456,205.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB
BA,Boeing Company,Industrials,329.66,27.29,19.648.397,13.47,361.45,163.69,2.05617E+11,12476000000,21.560.605,182.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BWA,BorgWarner,Consumer Discretionary,51.94,14.15,12.363.636,0.55,58.22,37.54,11596117445,867900000,15.831.376,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BXP,Boston Properties,Real Estate,112.09,18.05,27.744.062,2.93,140.13,111.87,17799878487,1546846000,6.839.459,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
BSX,Boston Scientific,Health Care,25.2,20,0,0.07,29.93,23.29,36142506007,1726000000,4.055.685,4.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BHF,Brighthouse Financial Inc,Financials,55.44,22.63,0,-24.62,75,52.751,7066613254,0,14.188.358,0.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF
BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,25.546.863,2.65,66.1,51.12,1.02507E+11,5170000000,6.503.231,6.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO,Broadcom,Information Technology,229.57,15.94,29.488.583,4.01,285.68,202.61,92791974933,7016000000,6.961.893,4.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,37.04,11.216.964,1.7,699.028,45.415,5498033502,1139000000,18.411.398,12.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B
CHRW,C. H. Robinson Worldwide,Industrials,90.47,26,1.987.685,3.57,100.18,63.41,12932483889,868096000,0.85282737,9.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
CA,"CA, Inc.",Information Technology,32.66,14.32,3,1.85,36.56,30.45,14175422936,1613000000,33.742.425,2.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA
COG,Cabot Oil & Gas,Energy,23.01,60.55,10.269.576,-0.92,29.57,21.4,10808821635,404951000,8.636.729,4.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG
CDNS,Cadence Design Systems,Information Technology,36.82,34.09,0,0.74,46,29.01,10890625200,455607000,5.751.737,10.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CPB,Campbell Soup,Consumer Staples,44.83,14.84,3.125,2.89,64.23,43.5,13467193376,1683000000,23.898.203,7.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF,Capital One Financial,Financials,91.8,11.85,16.306.564,3.45,106.5,76.05,47637260000,0,15.931.405,0.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH,Cardinal Health Inc.,Health Care,66.63,12.29,28.394.227,4.04,84.88,54.66,20493281175,1913000000,0.21131156,3.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
KMX,Carmax Inc,Consumer Discretionary,64.34,19.44,0,3.97,77.64,54.29,11827453706,1339628000,0.6913859,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX
CCL,Carnival Corp.,Consumer Discretionary,66.76,17.48,26.041.667,3.58,72.7,54.75,49180044050,4711000000,28.147.783,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CAT,Caterpillar Inc.,Industrials,145.99,21.22,20.215.108,1.26,173.24,90.34,91822049046,8136000000,20.468.428,5.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CBOE,CBOE Holdings,Financials,111.15,35.06,0.9426963,2.27,138.54,76.75,12998295607,488406000,8.249.042,5.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
CBG,CBRE Group,Real Estate,41.92,15.82,0,1.69,46.6,30.43,14440591731,1652961000,14.622.321,3.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG
CBS,CBS Corp.,Consumer Discretionary,51.8,12.05,13.473.054,2.81,70.095,52.75,20431395736,2841000000,21.055.017,6.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS
CELG,Celgene Corp.,Health Care,91.02,13.27,0,3.58,147.17,92.85,74921079154,5233000000,5.830.071,7.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG
CNC,Centene Corporation,Health Care,100.36,19.12,0,3.23,112.42,65.03,18012494506,2063000000,0.5028663,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
CNP,CenterPoint Energy,Utilities,25.85,19.73,42.109.256,1,30.45,25.51,11362043297,2337000000,16.262.617,3.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
CTL,CenturyLink Inc,Telecommunication Services,16.2,8.35,12.661.196,1.16,27.61,13.161,18237196861,5577000000,14.795.984,1.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTL
CERN,Cerner,Health Care,61.22,27.09,0,1.84,73.86,512.617,21101697598,1523440000,55.560.412,4.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN
CF,CF Industries Holdings Inc,Materials,37.46,-59.46,30.395.136,-1.2,43.98,25.04,9209106695,711000000,30.044.448,2.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
SCHW,Charles Schwab Corporation,Financials,48.9,29.82,0.76878726,1.61,56.25,37.16,69750188843,0,7.949.615,4.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
CHTR,Charter Communications,Consumer Discretionary,348.65,162.92,0,34.08,408.83,308.3,86708878113,14694000000,21.208.634,2.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
CHK,Chesapeake Energy,Energy,2.82,4.7,0,-6.44,6.59,2.8,2626102121,1470000000,0.40765184,1.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK
CVX,Chevron Corp.,Energy,112.3,27.52,3.885.853,4.85,133.88,102.55,2.18979E+11,28877000000,16.489.863,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,45.86,0,0.8,499,263,7685283970,401293000,25.523.853,6.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
CB,Chubb Limited,Financials,140.39,17.5,19.251.627,8.2,157.5,130.17,68424670566,0,20.985.637,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB
CHD,Church & Dwight,Consumer Staples,47.38,24.42,18.366.054,2.92,541.799,43.21,11838963451,868000000,31.682.448,6.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
CI,CIGNA Corp.,Health Care,189.27,18.11,0.020466639,7.2,227.13,141.93,47680910480,0,1.550.762,3.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
XEC,Cimarex Energy,Energy,100.19,26.37,0.30214334,-4.64,136.31,89.49,10089082025,1061056000,7.556.446,4.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC
CINF,Cincinnati Financial,Financials,70.34,27.48,2.918.904,3.55,81.98,68.24,11916533018,0,2.756.679,1.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
CTAS,Cintas Corporation,Industrials,149.32,32.75,10.344.827,4.38,169.96,113.79,16676145923,1097295000,27.614.057,6.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS
CSCO,Cisco Systems,Information Technology,38.77,17.87,28.755.577,1.91,42.98,30.36,1.99426E+11,15447000000,5.484.418,3.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
C,Citigroup Inc.,Financials,71.87,13.48,17.068.943,-3.1,80.7,56.14,1.92709E+11,0,21.857.586,0.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C
CFG,Citizens Financial Group,Financials,42.19,16.04,19.625.335,3.27,48.23,31.51,22008050974,0,33.917.346,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG
CTXS,Citrix Systems,Information Technology,84.53,20.37,0,-0.24,95,733.346,13199167493,810268000,47.538.714,6.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXS
CME,CME Group Inc.,Financials,153.04,32.15,36.828.613,11.94,163,1.148.176,54423298745,2851800000,14.881.806,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME
CMS,CMS Energy,Utilities,41.77,21.42,33.918.407,1.99,50.85,41.07,11873960824,2099000000,24.711.676,2.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS
KO,Coca-Cola Company (The),Consumer Staples,43.1,22.8,33.213.644,1.49,48.615,40.22,1.89855E+11,8589000000,6.822.138,8.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
CTSH,Cognizant Technology Solutions,Information Technology,75.16,22.44,10.454.783,2.54,79.28,54.76,45119684067,2946000000,39.678.397,3.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
CL,Colgate-Palmolive,Consumer Staples,68.95,24.02,22.801.766,2.28,77.91,66.26,61616643498,4064000000,4.000.737,236.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL
CMCSA,Comcast Corp.,Consumer Discretionary,38.19,18.54,18.929.017,4.74,44,34.78,1.86477E+11,28675000000,21.797.748,2.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA
CMA,Comerica Inc.,Financials,89.18,18.89,12.823.253,4.13,98.18,64.04,16274969256,0,4.905.472,1.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMA
CAG,Conagra Brands,Consumer Staples,35.49,18.2,23.683.476,1.46,41.68,32.16,14379717835,1281200000,18.294.994,3.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG
CXO,Concho Resources,Energy,140.09,84.39,0,-11.04,162.91,106.73,22021882339,2151190000,12.271.951,2.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CXO
COP,ConocoPhillips,Energy,53.24,72.93,2.049.254,-0.65,61.315,42.265,65482462410,5328000000,20.764.177,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
ED,Consolidated Edison,Utilities,74.73,18.64,38.001.595,4.1,89.7,72.63,23335777662,4288000000,2.960.244,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED
STZ,Constellation Brands,Consumer Staples,208.73,30.92,0.9712818,8.71,229.5,152.01,41697453163,3033300000,5.145.596,5.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ
GLW,Corning Inc.,Information Technology,28.45,16.45,20.791.416,-0.78,35.1,26.31,25759280346,2970000000,2.544.682,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW
COST,Costco Wholesale Corp.,Consumer Staples,178.61,30.69,10.917.627,6.09,199.88,150,80439804508,5679000000,0.61203885,7.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
COTY,"Coty, Inc",Consumer Staples,19.96,24.64,2.860.412,-0.63,21.175,14.24,13101112504,211400000,20.061.796,1.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COTY
CCI,Crown Castle International Corp.,Real Estate,103.81,21.45,3.862.069,1.02,114.97,86.93,44183023189,2292600000,10.125.291,3.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI
